id,focus,signal,slack,drag,confidence,score,lane
l001,retry load,35,33,6,25,135,watch
l002,worker slack,35,34,6,55,196,ship
l003,session drift,35,35,6,85,257,ship
l004,queue pressure,35,36,18,25,102,hold
l005,retry load,35,37,18,55,163,ship
l006,worker slack,35,38,18,85,224,ship
l007,session drift,35,39,34,25,57,hold
l008,queue pressure,35,40,34,55,118,watch
l009,retry load,35,41,34,85,179,ship
l010,worker slack,60,42,6,25,194,ship
l011,session drift,60,43,6,55,255,ship
l012,queue pressure,60,44,6,85,316,ship
l013,retry load,60,45,18,25,161,watch
l014,worker slack,60,46,18,55,222,ship
l015,session drift,60,47,18,85,283,ship
l016,queue pressure,60,48,34,25,116,watch
l017,retry load,60,32,34,55,160,watch
l018,worker slack,60,33,34,85,221,ship
l019,session drift,85,34,6,25,236,ship
l020,queue pressure,85,35,6,55,297,ship
l021,retry load,85,36,6,85,358,ship
l022,worker slack,85,37,18,25,203,ship
l023,session drift,85,38,18,55,264,ship
l024,queue pressure,85,39,18,85,325,ship
l025,retry load,85,40,34,25,158,watch
l026,worker slack,85,41,34,55,219,ship
l027,session drift,85,42,34,85,280,ship
